object_type,n,k,trial,instance_seed,r,rho,hidden_line_count,approx_lines,exact_lines,line_count_ratio,exact_match,approx_runtime_seconds,exact_runtime_seconds,candidate_lines,graph_nodes,graph_edges,exact_candidates,exact_combinations_checked,maximum_realised_distance
disk,8,3,7,1879774298,1.5,0.8,3,3,2,1.5,False,5.100003909319639e-05,0.00011575000826269388,6,6,6,26,126,1.2712433935273368
disk,8,3,8,783793413,1.5,0.8,3,3,2,1.5,False,4.837499000132084e-05,0.00010874995496124029,6,6,5,23,72,1.0975507839770156
disk,8,3,9,1783296961,1.5,0.8,3,3,2,1.5,False,4.883308429270983e-05,0.00010704097803682089,7,7,6,24,31,1.105007749443964
disk,8,3,10,491852299,1.5,0.8,3,3,3,1.0,True,4.8749963752925396e-05,0.00019116699695587158,6,6,6,23,791,1.3095386066401369
disk,8,3,11,1743530768,1.5,0.8,3,2,2,1.0,True,5.000003147870302e-05,0.00011641695164144039,7,7,6,23,120,0.9819120569518673
disk,8,3,12,1005945812,1.5,0.8,3,3,3,1.0,True,4.904100205749273e-05,0.00019162509124726057,7,7,6,22,773,1.186648468871607
disk,8,3,13,1559359476,1.5,0.8,3,2,2,1.0,True,4.9458001740276814e-05,0.00011058396194130182,7,7,7,25,56,1.2466329118261432
disk,8,3,14,675736258,1.5,0.8,3,3,2,1.5,False,5.341600626707077e-05,0.00011550006456673145,9,9,6,23,101,1.367273190202593
disk,10,2,0,86436450,1.5,0.8,2,2,1,2.0,False,5.6750024668872356e-05,0.00013329205103218555,6,6,6,34,26,1.4910557360482108
disk,10,2,1,220497966,1.5,0.8,2,3,2,1.5,False,5.554105155169964e-05,0.00015358394011855125,8,8,6,31,257,1.4238313666721278
disk,10,2,2,1312295682,1.5,0.8,2,3,2,1.5,False,5.5875047110021114e-05,0.00014570809435099363,8,8,6,33,171,1.4767721082294354
disk,10,2,3,1125293780,1.5,0.8,2,3,2,1.5,False,5.529192276299e-05,0.00014295801520347595,8,8,8,30,148,1.308468055896692
disk,10,2,4,2134546695,1.5,0.8,2,2,2,1.0,True,5.720905028283596e-05,0.0001420830376446247,7,7,6,32,84,1.3477860261908592
disk,10,2,5,1291729198,1.5,0.8,2,2,2,1.0,True,5.3333002142608166e-05,0.00015295902267098427,6,6,5,32,243,1.1577206974287344
disk,10,2,6,774172053,1.5,0.8,2,3,2,1.5,False,5.070806946605444e-05,0.00014062505215406418,7,7,8,34,169,1.20922228642963
disk,10,2,7,116925450,1.5,0.8,2,2,2,1.0,True,5.070795305073261e-05,0.00015187507960945368,5,5,5,33,201,1.4420665371961003
disk,10,2,8,31821811,1.5,0.8,2,3,2,1.5,False,5.862489342689514e-05,0.00015874998643994331,9,9,8,30,291,1.2581283595956723
disk,10,2,9,339331983,1.5,0.8,2,3,2,1.5,False,5.749997217208147e-05,0.00014320795889943838,8,8,7,31,138,1.2022245290127314
disk,10,2,10,1453780761,1.5,0.8,2,4,2,2.0,False,5.8999983593821526e-05,0.00016649998724460602,9,9,8,29,405,0.9126120725585742
disk,10,2,11,1540864128,1.5,0.8,2,3,2,1.5,False,5.24579081684351e-05,0.0001385000068694353,7,7,6,30,94,1.1239176742336283
disk,10,2,12,712023191,1.5,0.8,2,3,2,1.5,False,5.454104393720627e-05,0.00015249999705702066,8,8,7,31,213,1.2978312296650365
disk,10,2,13,2091079327,1.5,0.8,2,2,2,1.0,True,5.545897874981165e-05,0.00016175000928342342,7,7,7,33,324,1.1995789287998633
disk,10,2,14,1866045341,1.5,0.8,2,3,2,1.5,False,5.779205821454525e-05,0.00014229200314730406,9,9,8,29,168,0.8047134410804959
disk,10,3,0,612227100,1.5,0.8,3,3,2,1.5,False,5.51670091226697e-05,0.0001462079817429185,7,7,6,30,182,1.429618042901416
disk,10,3,1,495882358,1.5,0.8,3,2,2,1.0,True,4.9332971684634686e-05,0.0001330000814050436,6,6,5,31,40,1.4154566867116187
disk,10,3,2,1285616831,1.5,0.8,3,3,2,1.5,False,5.6124990805983543e-05,0.0001717080594971776,8,8,7,31,448,1.1916906573351749
disk,10,3,3,1998388899,1.5,0.8,3,2,2,1.0,True,5.224999040365219e-05,0.00015608395915478468,6,6,6,33,300,1.3021487589244127
disk,10,3,4,483318351,1.5,0.8,3,3,2,1.5,False,5.804200191050768e-05,0.00014245801139622927,8,8,7,32,144,1.4309488947736548
disk,10,3,5,623581130,1.5,0.8,3,3,2,1.5,False,5.562498699873686e-05,0.0001717499690130353,7,7,6,33,449,1.3660948617350035
disk,10,3,6,897194835,1.5,0.8,3,3,3,1.0,True,5.5292039178311825e-05,0.00019237503875046968,8,8,7,30,609,1.2600039459922259
disk,10,3,7,563587862,1.5,0.8,3,3,3,1.0,True,5.1042065024375916e-05,0.000282666995190084,8,8,9,31,1307,1.326376433669824
disk,10,3,8,976665874,1.5,0.8,3,3,2,1.5,False,5.212496034801006e-05,0.0001420410117134452,7,7,8,30,155,1.2526028269102667
disk,10,3,9,1667833625,1.5,0.8,3,4,3,1.3333333333333333,False,5.41249755769968e-05,0.0003375000087544322,8,8,8,32,1751,1.4032324506783034
disk,10,3,10,1190644911,1.5,0.8,3,4,2,2.0,False,5.237502045929432e-05,0.00016058410983532667,8,8,8,33,324,1.2241042285517423
disk,10,3,11,1769274157,1.5,0.8,3,3,3,1.0,True,5.541602149605751e-05,0.00018587498925626278,8,8,7,30,577,1.4349498325796393
disk,10,3,12,1902308802,1.5,0.8,3,4,3,1.3333333333333333,False,5.7292054407298565e-05,0.00017920800019055605,9,9,7,27,487,1.420914220192336
disk,10,3,13,1830984636,1.5,0.8,3,3,2,1.5,False,5.058397073298693e-05,0.0001663330476731062,6,6,7,32,290,0.9205703418628672
disk,10,3,14,1859391657,1.5,0.8,3,2,2,1.0,True,5.579204298555851e-05,0.0001824169885367155,5,5,5,32,457,1.439638580402822
